season,game_type,team,week,gsis_id,position,full_name,first_name,last_name,report_primary_injury,report_secondary_injury,report_status,practice_primary_injury,practice_secondary_injury,practice_status,date_modified
2023,REG,ARI,1,00-0034473,LB,Dennis Gardeck,Dennis,Gardeck,,,,Knee,,Full Participation in Practice,2023-09-08 18:49:43
2023,REG,ARI,1,00-0029316,T,Kelvin Beachum,Kelvin,Beachum,Hand,,Out,Hand,,Did Not Participate In Practice,2023-09-08 18:50:25
2023,REG,ARI,1,00-0035662,WR,Marquise Brown,Marquise,Brown,Hamstring,,Questionable,Hamstring,,Limited Participation in Practice,2023-09-08 18:50:02
2023,REG,ARI,1,00-0030061,TE,Zach Ertz,Zach,Ertz,Knee,,Questionable,Knee,,Limited Participation in Practice,2023-09-08 18:50:02
2023,REG,ATL,1,00-0033858,TE,Jonnu Smith,Jonnu,Smith,,,,Not injury related - resting player,,Did Not Participate In Practice,2023-09-06 20:54:47
2023,REG,ATL,1,00-0036274,CB,Jeff Okudah,Jeff,Okudah,Foot,,Out,Foot,,Did Not Participate In Practice,2023-09-08 17:42:34
2023,REG,ATL,1,00-0034854,WR,KhaDarel Hodge,KhaDarel,Hodge,Ankle,,Questionable,Ankle,,Full Participation in Practice,2023-09-08 17:43:18
2023,REG,ATL,1,00-0030578,RB,Cordarrelle Patterson,Cordarrelle,Patterson,Thigh,,Questionable,Thigh,,Limited Participation in Practice,2023-09-08 17:42:57
2023,REG,BAL,1,00-0031235,WR,Odell Beckham,Odell,Beckham,,,,Ankle,,Full Participation in Practice,2023-09-08 19:57:07
2023,REG,BAL,1,00-0032965,T,Ronnie Stanley,Ronnie,Stanley,,,,Ankle,,Full Participation in Practice,2023-09-08 19:56:55
2023,REG,BAL,1,00-0033281,CB,Marlon Humphrey,Marlon,Humphrey,Foot,,Out,Foot,,Did Not Participate In Practice,2023-09-08 19:57:41
2023,REG,BAL,1,00-0034753,TE,Mark Andrews,Mark,Andrews,Quadricep,,Questionable,Quadricep,,Limited Participation in Practice,2023-09-08 19:57:27
2023,REG,BUF,1,00-0030090,S,Micah Hyde,Micah,Hyde,,,,Back,,Full Participation in Practice,2023-09-09 17:24:16
2023,REG,CAR,1,00-0036037,S,Sam Franklin,Sam,Franklin,,,,Knee,,Full Participation in Practice,2023-09-08 16:58:07
2023,REG,CAR,1,00-0036955,WR,Terrace Marshall,Terrace,Marshall,,,,Back,,Full Participation in Practice,2023-09-08 16:58:19
2023,REG,CAR,1,00-0036635,WR,Ihmir Smith-Marsette,Ihmir,Smith-Marsette,,,,Ankle,,Full Participation in Practice,2023-09-08 16:58:43
2023,REG,CAR,1,00-0031795,DT,DeShawn Williams,DeShawn,Williams,,,,Illness,,Full Participation in Practice,2023-09-08 16:58:33
2023,REG,CAR,1,00-0034777,WR,D.J. Chark,D.J.,Chark,Hamstring,,Out,Hamstring,,Limited Participation in Practice,2023-09-08 16:59:01
2023,REG,CAR,1,00-0030035,WR,Adam Thielen,Adam,Thielen,Ankle,,Questionable,Ankle,,Limited Participation in Practice,2023-09-08 16:59:20
2023,REG,CHI,1,00-0038135,S,Jaquan Brisker,Jaquan,Brisker,,,,Groin,,Full Participation in Practice,2023-09-08 18:13:30
2023,REG,CHI,1,00-0035649,G,Nate Davis,Nate,Davis,,,,Not injury related - personal matter,,Full Participation in Practice,2023-09-08 18:13:45
2023,REG,CHI,1,00-0033784,S,Eddie Jackson,Eddie,Jackson,,,,Ankle,,Full Participation in Practice,2023-09-08 18:13:30
2023,REG,CHI,1,00-0024243,TE,Marcedes Lewis,Marcedes,Lewis,,,,Not injury related - resting player,,Full Participation in Practice,2023-09-08 18:13:52
2023,REG,CHI,1,00-0033782,DE,DeMarcus Walker,DeMarcus,Walker,,,,Calf,,Full Participation in Practice,2023-09-08 18:13:30
2023,REG,CHI,1,00-0033757,TE,Robert Tonyan,Robert,Tonyan,Back,,Questionable,,,"
    ",2023-09-09 21:52:37
2023,REG,CHI,1,00-0033765,LB,Dylan Cole,Dylan,Cole,Hamstring,,Questionable,Hamstring,,Limited Participation in Practice,2023-09-08 18:14:10
2023,REG,CIN,1,00-0033009,WR,Tyler Boyd,Tyler,Boyd,,,,Toe,,Full Participation in Practice,2023-09-08 18:25:09
2023,REG,CIN,1,00-0036442,QB,Joe Burrow,Joe,Burrow,,,,Calf,,Full Participation in Practice,2023-09-08 18:25:09
2023,REG,CIN,1,00-0036852,G,D'Ante Smith,D'Ante,Smith,,,,Shoulder,,Full Participation in Practice,2023-09-08 18:25:09
2023,REG,CIN,1,00-0033548,CB,Chidobe Awuzie,Chidobe,Awuzie,,,,Not injury related - resting player,,Limited Participation in Practice,2023-09-08 18:25:28
2023,REG,CIN,1,00-0036902,DE,Joseph Ossai,Joseph,Ossai,Ankle,,Out,Ankle,,Did Not Participate In Practice,2023-09-08 18:25:40
2023,REG,CLE,1,00-0031426,G,Joel Bitonio,Joel,Bitonio,,,,Not injury related - resting player,,Full Participation in Practice,2023-09-08 18:52:17
2023,REG,CLE,1,00-0033057,T,Jack Conklin,Jack,Conklin,,,,Not injury related - resting player,,Full Participation in Practice,2023-09-08 19:35:34
2023,REG,CLE,1,00-0031544,WR,Amari Cooper,Amari,Cooper,,,,Not injury related - resting player,,Full Participation in Practice,2023-09-08 18:52:17
2023,REG,CLE,1,00-0034856,CB,Denzel Ward,Denzel,Ward,,,,Concussion,,Full Participation in Practice,2023-09-08 18:52:48
2023,REG,CLE,1,00-0037251,DE,Alex Wright,Alex,Wright,,,,Knee,,Full Participation in Practice,2023-09-08 19:33:42
2023,REG,CLE,1,00-0030068,WR,Marquise Goodwin,Marquise,Goodwin,,,,Illness,,Limited Participation in Practice,2023-09-08 18:52:17
2023,REG,CLE,1,00-0035625,S,Juan Thornhill,Juan,Thornhill,Calf,,Questionable,Calf,,Did Not Participate In Practice,2023-09-08 18:53:12
2023,REG,DAL,1,00-0033928,CB,Jourdan Lewis,Jourdan,Lewis,,,,Foot,,Full Participation in Practice,2023-09-08 19:27:16
2023,REG,DAL,1,00-0037243,T,Tyler Smith,Tyler,Smith,Hamstring,,Doubtful,Hamstring,,Did Not Participate In Practice,2023-09-08 19:36:26
2023,REG,DAL,1,00-0035301,S,Donovan Wilson,Donovan,Wilson,Calf,,Doubtful,Calf,,Did Not Participate In Practice,2023-09-08 19:37:03
2023,REG,DAL,1,00-0033877,S,Malik Hooker,Malik,Hooker,Illness,,Questionable,,,"
    ",2023-09-09 21:53:23
2023,REG,DAL,1,00-0037665,DE,Sam Williams,Sam,Williams,Foot,,Questionable,Foot,,Full Participation in Practice,2023-09-08 19:35:58
2023,REG,DAL,1,00-0027947,T,Tyron Smith,Tyron,Smith,Ankle,,Questionable,Ankle,,Limited Participation in Practice,2023-09-08 19:35:58
2023,REG,DEN,1,00-0037252,TE,Greg Dulcich,Greg,Dulcich,,,,Not injury related - personal matter,,Full Participation in Practice,2023-09-08 20:13:48
2023,REG,DEN,1,00-0031484,TE,Chris Manhertz,Chris,Manhertz,,,,Chest,,Full Participation in Practice,2023-09-08 20:13:48
2023,REG,DEN,1,00-0036874,CB,Patrick Surtain,Patrick,Surtain,,,,Ankle,,Limited Participation in Practice,2023-09-08 20:14:27
2023,REG,DEN,1,00-0036407,WR,Jerry Jeudy,Jerry,Jeudy,Hamstring,,Questionable,Hamstring,,Limited Participation in Practice,2023-09-08 20:14:00
2023,REG,DEN,1,00-0038552,CB,Riley Moss,Riley,Moss,Abdomen,,Questionable,Abdomen,,Limited Participation in Practice,2023-09-08 20:14:00
2023,REG,DET,1,00-0035219,DT,Isaiah Buggs,Isaiah,Buggs,,,,Illness,,Full Participation in Practice,2023-09-06 20:47:39
2023,REG,DET,1,00-0036993,S,Ifeatu Melifonwu,Ifeatu,Melifonwu,,,,Hamstring,,Full Participation in Practice,2023-09-06 20:47:39
2023,REG,DET,1,00-0034345,C,Frank Ragnow,Frank,Ragnow,,,,Toe,Not injury related - resting p,Full Participation in Practice,2023-09-06 20:48:34
2023,REG,DET,1,00-0034096,CB,Emmanuel Moseley,Emmanuel,Moseley,Knee,,Out,Knee,,Limited Participation in Practice,2023-09-06 20:49:21
2023,REG,GB,1,00-0030074,T,David Bakhtiari,David,Bakhtiari,,,,Not injury related - resting player,Knee,Did Not Participate In Practice,2023-09-08 18:51:02
2023,REG,GB,1,00-0038411,CB,Anthony Johnson,Anthony,Johnson,,,,Knee,,Full Participation in Practice,2023-09-08 18:51:02
2023,REG,GB,1,00-0038393,WR,Dontayvion Wicks,Dontayvion,Wicks,,,,Hamstring,,Full Participation in Practice,2023-09-08 18:51:02
2023,REG,GB,1,00-0034967,LB,Rashan Gary,Rashan,Gary,,,,Knee,,Limited Participation in Practice,2023-09-08 18:51:02
2023,REG,GB,1,00-0038124,WR,Christian Watson,Christian,Watson,Hamstring,,Out,Hamstring,,Did Not Participate In Practice,2023-09-08 18:52:30
2023,REG,GB,1,00-0037816,WR,Romeo Doubs,Romeo,Doubs,Hamstring,,Questionable,Hamstring,,Limited Participation in Practice,2023-09-08 18:51:10
2023,REG,HOU,1,00-0037823,LB,Christian Harris,Christian,Harris,,,,Shoulder,,Full Participation in Practice,2023-09-08 20:10:16
