season,game_type,team,week,gsis_id,position,full_name,first_name,last_name,report_primary_injury,report_secondary_injury,report_status,practice_primary_injury,practice_secondary_injury,practice_status,date_modified
2021,REG,ARI,1,00-0033258,TE,Darrell Daniels,Darrell,Daniels,,,,Toe,,Full Participation in Practice,2021-09-10 19:35:39+00:00
2021,REG,ARI,1,00-0034473,LB,Dennis Gardeck,Dennis,Gardeck,Knee,Hand,Out,Knee,Hand,Did Not Participate In Practice,2021-09-10 19:36:51+00:00
2021,REG,ARI,1,00-0035126,WR,Antoine Wesley,Antoine,Wesley,Illness,,Out,Illness,,Did Not Participate In Practice,2021-09-10 19:37:05+00:00
2021,REG,ATL,1,00-0031583,DT,Grady Jarrett,Grady,Jarrett,,,,Not injury related - personal matter,,Did Not Participate In Practice,2021-09-10 09:29:27+00:00
2021,REG,ATL,1,00-0030010,LB,Brandon Copeland,Brandon,Copeland,,,,Hamstring,,Full Participation in Practice,2021-09-10 18:05:56+00:00
2021,REG,BAL,1,00-0031598,TE,Nick Boyle,Nick,Boyle,,,,Knee,,Did Not Participate In Practice,2021-09-09 20:34:47+00:00
2021,REG,BAL,1,00-0026190,DE,Calais Campbell,Calais,Campbell,,,,Not injury related - resting player,,Did Not Participate In Practice,2021-09-11 20:27:49+00:00
2021,REG,BAL,1,00-0032965,T,Ronnie Stanley,Ronnie,Stanley,,,,Not injury related - resting player,,Did Not Participate In Practice,2021-09-11 20:28:05+00:00
2021,REG,BAL,1,00-0030511,DT,Brandon Williams,Brandon,Williams,,,,Not injury related - resting player,,Did Not Participate In Practice,2021-09-10 19:55:40+00:00
2021,REG,BAL,1,00-0034184,RB,Gus Edwards,Gus,Edwards,,,,Knee,,Limited Participation in Practice,2021-09-09 20:34:22+00:00
2021,REG,BAL,1,00-0032165,CB,Marcus Peters,Marcus,Peters,,,,Knee,,Limited Participation in Practice,2021-09-09 20:33:30+00:00
2021,REG,BAL,1,00-0029586,DE,Derek Wolfe,Derek,Wolfe,Back,Hip,Out,Back,Hip,Did Not Participate In Practice,2021-09-11 20:30:36+00:00
2021,REG,BAL,1,00-0036562,LB,Daelin Hayes,Daelin,Hayes,Knee,,Questionable,Knee,,Full Participation in Practice,2021-09-11 20:30:16+00:00
2021,REG,BAL,1,00-0027965,CB,Jimmy Smith,Jimmy,Smith,Ankle,,Questionable,Ankle,,Limited Participation in Practice,2021-09-11 20:30:16+00:00
2021,REG,BUF,1,00-0028339,DE,Mario Addison,Mario,Addison,,,,Not injury related - personal matter,,Did Not Participate In Practice,2021-09-10 20:53:11+00:00
2021,REG,BUF,1,00-0034376,CB,Taron Johnson,Taron,Johnson,,,,Hand,,Full Participation in Practice,2021-09-10 20:52:37+00:00
2021,REG,BUF,1,00-0033466,WR,Isaiah McKenzie,Isaiah,McKenzie,,,,Shoulder,,Full Participation in Practice,2021-09-10 20:52:37+00:00
2021,REG,BUF,1,00-0034782,DT,Harrison Phillips,Harrison,Phillips,,,,Knee,,Full Participation in Practice,2021-09-10 20:52:37+00:00
2021,REG,BUF,1,00-0030455,DT,Star Lotulelei,Star,Lotulelei,Calf,,Out,Calf,,Did Not Participate In Practice,2021-09-10 20:55:16+00:00
2021,REG,BUF,1,00-0027685,WR,Emmanuel Sanders,Emmanuel,Sanders,Foot,,Questionable,Foot,,Limited Participation in Practice,2021-09-10 20:54:35+00:00
2021,REG,CAR,1,00-0036572,WR,Shi Smith,Shi,Smith,Shoulder,,Out,Shoulder,,Did Not Participate In Practice,2021-09-10 18:27:37+00:00
2021,REG,CHI,1,00-0035293,CB,Xavier Crawford,Xavier,Crawford,,,,Groin,,Full Participation in Practice,2021-09-10 19:07:21+00:00
2021,REG,CHI,1,00-0027696,TE,Jimmy Graham,Jimmy,Graham,,,,Not injury related - resting player,,Full Participation in Practice,2021-09-10 19:07:21+00:00
2021,REG,CHI,1,00-0032986,TE,J.P. Holtz,J.P.,Holtz,,,,Quadricep,,Full Participation in Practice,2021-09-10 19:07:21+00:00
2021,REG,CHI,1,00-0036909,DT,Khyiris Tonga,Khyiris,Tonga,,,,Ankle,,Full Participation in Practice,2021-09-10 19:07:21+00:00
2021,REG,CHI,1,00-0030874,RB,Damien Williams,Damien,Williams,,,,Abdomen,,Full Participation in Practice,2021-09-10 19:07:21+00:00
